"mobile_bank","income","saving_account","treated","mobile_bank_new","CD_existing","CD_new"
1,133856,60250.1551093791,"Offer",1,1,1
1,253744,121302.619810063,"No Offer",1,1,1
1,121063,54653.1038870101,"No Offer",1,1,1
1,0,3049.06646508381,"Offer",1,0,0
1,0,2542.09343930414,"Offer",1,0,0
1,54809,3296.97199644848,"No Offer",1,0,0
0,178908,95802.8212362873,"Offer",0,0,1
0,126910,53316.9555286544,"Offer",1,1,0
1,0,3014.1516577701,"No Offer",1,0,0
1,102213,50623.7471949425,"No Offer",1,1,1
1,111195,45805.1048776257,"Offer",1,0,0
1,162215,83642.0072523857,"No Offer",1,1,1
1,73321,36732.9883993149,"Offer",1,0,0
1,126787,53149.6091206145,"Offer",1,1,1
1,74181,1432.71923612855,"No Offer",1,0,0
1,112586,36622.68184693,"No Offer",1,0,0
1,195637,110881.968599156,"Offer",1,1,1
0,169312,2748.02737686661,"No Offer",0,0,0
1,165629,68571.4913259566,"No Offer",1,1,1
0,121327,58714.9803852187,"No Offer",0,0,0
0,157904,76375.9666421064,"No Offer",0,1,0
1,151443,3151.95201326583,"No Offer",1,0,0
1,59426,23728.9874483625,"No Offer",1,0,0
1,179981,98336.3710064133,"No Offer",1,1,1
1,113081,45818.2562113235,"No Offer",1,0,0
1,157391,76698.9579091479,"Offer",1,1,1
1,0,3232.93522094031,"Offer",1,0,0
1,153471,68066.0619423806,"Offer",1,0,1
1,147674,57971.9536522148,"Offer",1,1,0
1,116876,52609.699651536,"No Offer",1,1,0
1,156010,65331.177941138,"No Offer",1,1,1
0,148125,75532.9369790592,"No Offer",0,0,1
1,166496,56404.937337225,"Offer",1,0,0
0,162504,45918.3546400714,"Offer",0,0,0
1,204625,85850.8710994858,"Offer",1,0,1
1,149828,2710.77178266786,"No Offer",1,0,0
1,152012,3336.82278830994,"Offer",1,0,0
1,114794,3336.39643479857,"No Offer",1,0,0
1,139922,62579.4496142224,"No Offer",1,1,1
1,87950,2761.65615798203,"Offer",1,0,0
1,110225,47990.5706629443,"Offer",1,0,0
1,140859,3400.6415873014,"Offer",1,0,0
1,152348,59059.1012028681,"No Offer",1,1,0
0,183336,80752.5794904353,"No Offer",0,0,0
1,100445,54220.4554373522,"Offer",1,1,1
0,32346,1957.55764342769,"No Offer",0,0,0
1,114502,76056.2823697202,"Offer",1,1,1
1,153730,64426.694447682,"Offer",1,0,0
1,146892,3055.00642634141,"Offer",1,0,0
1,149528,62662.7242038075,"Offer",1,1,1
1,130902,68902.8246028738,"No Offer",1,1,1
1,193416,2681.07369477329,"No Offer",1,0,0
0,114918,43808.6696752642,"No Offer",1,0,0
1,207933,2870.67686168704,"No Offer",1,0,0
1,197420,96890.9762224111,"Offer",1,1,1
1,120977,56525.2181369025,"No Offer",1,1,0
1,144110,52854.0316409625,"No Offer",1,0,1
1,114657,53059.2175505422,"Offer",1,1,1
0,127692,54513.4143045705,"No Offer",0,0,0
0,94760,40423.7982801384,"Offer",0,0,0
1,2725,4170.7254478608,"Offer",1,0,0
0,173137,69537.4776403507,"No Offer",0,1,0
1,111989,41226.8041544012,"Offer",1,0,0
1,161469,77834.066626309,"No Offer",1,1,1
1,154523,2524.21821006585,"No Offer",1,0,0
1,134399,86156.9325424688,"No Offer",1,0,1
1,190705,117105.664768254,"No Offer",1,0,1
1,0,2374.31096054227,"No Offer",1,0,0
1,72449,2605.47119106142,"Offer",1,0,0
1,167785,82592.9160043816,"No Offer",1,1,1
1,147865,3713.42179701911,"Offer",1,0,0
1,152160,2368.57697151081,"Offer",1,0,0
0,170844,82480.4559646561,"Offer",0,0,0
1,156416,78386.8123781261,"No Offer",1,0,1
1,128463,64366.1588980594,"No Offer",1,1,1
1,172098,37187.7074707332,"Offer",1,0,0
0,163966,69947.2604749798,"Offer",0,1,0
1,112735,2271.07853381584,"Offer",1,0,0
1,147776,2337.44195395503,"No Offer",1,0,0
1,184557,40661.5187651254,"No Offer",1,0,0
1,6101,5588.58318567157,"Offer",1,0,0
1,276980,69449.7879492884,"No Offer",1,1,0
1,123192,2908.98573578749,"No Offer",1,0,0
1,189249,99856.925389416,"No Offer",1,0,1
1,232655,90759.0824888582,"Offer",1,1,1
1,103439,43478.0235413729,"No Offer",1,0,0
1,195152,79964.1338648822,"No Offer",1,1,1
1,0,2481.40235683602,"Offer",1,0,0
1,146317,80148.2948380956,"No Offer",1,0,1
0,0,-124.945544647589,"No Offer",1,0,0
0,163890,61825.5980320776,"Offer",0,0,0
0,149900,64989.222423284,"Offer",0,0,0
1,170495,83380.6807298638,"No Offer",1,0,1
1,163397,65072.6792939588,"Offer",1,0,1
1,214459,57972.064539972,"Offer",1,1,1
1,0,3447.04278553316,"No Offer",1,0,0
1,115992,59220.5334412844,"Offer",1,1,0
1,194137,2526.96069084964,"No Offer",1,0,0
1,0,3740.50613873257,"No Offer",1,0,0
1,162507,59709.9084721179,"Offer",1,0,1
1,147354,66189.2567249392,"No Offer",1,1,0
1,52650,20349.6571367321,"No Offer",1,0,0
1,0,2707.22034516103,"No Offer",1,0,0
0,0,2468.64570375971,"No Offer",0,0,0
1,185146,126550.721791387,"No Offer",1,1,1
1,220667,127285.287440576,"Offer",1,1,1
0,156681,55336.9755806433,"No Offer",1,1,1
1,119756,2752.33522654186,"No Offer",1,0,0
1,140217,45311.3263028635,"No Offer",1,0,0
1,91268,22063.0203928566,"Offer",1,0,0
1,96526,41666.00536627,"Offer",1,0,0
1,7324,2151.5493080651,"Offer",1,0,0
1,105035,35539.401959725,"Offer",1,0,0
1,0,4084.2101501799,"No Offer",1,0,0
0,164465,40515.0537079995,"No Offer",0,0,0
0,0,2850.75659894235,"Offer",0,0,0
1,122106,2694.51176185925,"No Offer",1,0,0
1,169539,69386.2767937593,"No Offer",1,1,0
1,208895,75050.3257527374,"Offer",1,0,0
1,134360,2878.12281193543,"Offer",1,0,0
1,146110,42901.3538355806,"No Offer",1,0,0
1,105813,61020.5393681982,"No Offer",1,1,0
1,258311,85338.2860150582,"Offer",1,0,0
1,165279,73896.1417672242,"Offer",1,0,1
0,99430,2757.46636763621,"No Offer",0,0,0
1,204812,89841.7806001869,"No Offer",1,0,0
1,143088,53397.733838276,"No Offer",1,1,1
1,154658,61747.6476319432,"No Offer",1,1,0
1,172517,61572.8557590179,"No Offer",1,1,1
1,167388,57423.0914248337,"No Offer",1,1,1
1,183460,83244.3309184366,"Offer",1,0,1
0,167631,720.027975711317,"No Offer",0,0,0
1,192544,3200.31891834237,"No Offer",1,0,0
0,163456,68988.0382825429,"No Offer",0,0,1
1,209054,100454.565442175,"Offer",1,0,1
1,117520,54254.7351495672,"No Offer",1,1,1
1,132399,59573.744055957,"No Offer",1,1,1
1,0,2810.75281486698,"No Offer",1,0,0
1,142596,78073.0521514139,"No Offer",1,1,0
0,165614,105232.522071576,"No Offer",0,0,0
1,4451,3946.32715486748,"No Offer",1,0,0
1,0,1770.04199571293,"Offer",1,0,0
1,139140,59400.0877923032,"No Offer",1,0,1
1,156096,34023.6985977941,"No Offer",1,0,0
1,132651,76729.0827673589,"Offer",1,0,0
0,0,1621.67773134446,"No Offer",0,0,0
1,0,2837.69699817929,"No Offer",1,0,0
1,0,2578.43627183365,"No Offer",1,0,0
1,207439,47019.6947705855,"Offer",1,0,0
1,169096,92550.3304522823,"Offer",1,1,1
1,0,3656.70747842687,"No Offer",1,0,0
1,143134,44398.1374127334,"No Offer",1,0,0
1,101552,12613.2284314656,"Offer",1,0,0
1,114863,66472.1796838912,"No Offer",1,0,1
1,251857,2557.6239910821,"No Offer",1,0,0
1,0,2822.46328649828,"No Offer",1,0,0
1,189271,80402.0531537757,"Offer",1,0,1
1,178901,52850.0294456777,"No Offer",1,1,0
1,0,1776.94442266198,"Offer",1,0,0
1,156721,81299.4604513953,"No Offer",1,1,0
0,128802,49998.2192556786,"No Offer",0,1,0
1,106366,55751.5652034879,"Offer",1,1,1
1,163798,94110.7782182276,"Offer",1,1,1
0,89794,2831.08540251997,"Offer",0,0,0
1,139457,55240.8013185488,"Offer",1,0,1
1,148991,82728.1913700178,"No Offer",1,1,1
1,138337,69927.5528900721,"No Offer",1,1,1
1,117009,48240.7207918763,"Offer",1,0,0
1,153816,51719.1018732948,"No Offer",1,1,1
1,152703,82993.7298246945,"Offer",1,0,1
1,121298,52763.5020590556,"No Offer",1,0,0
1,154375,66559.6287814226,"Offer",1,1,1
1,0,1932.64573107133,"Offer",1,0,0
1,146252,2593.52099800039,"No Offer",1,0,0
0,174637,48892.9293768712,"Offer",0,0,1
1,0,2551.78443955919,"No Offer",1,0,0
1,145422,68635.7938618827,"No Offer",1,0,1
1,81207,1038.95314431908,"No Offer",1,0,0
0,133531,54016.0953034203,"Offer",0,0,0
0,139051,71792.9152178023,"No Offer",0,0,1
1,112698,45031.7068761349,"No Offer",1,0,0
1,139241,57543.8003896354,"Offer",1,0,1
0,151336,76728.3920173957,"Offer",0,0,1
1,0,3028.16412567897,"No Offer",1,0,0
0,169890,73510.6859383507,"No Offer",1,0,1
1,151412,52031.0580068145,"No Offer",1,0,1
1,0,3639.96850739972,"Offer",1,0,0
1,165167,87023.1767665627,"No Offer",1,1,1
1,125439,3056.68165297032,"No Offer",1,0,0
0,0,3287.46968774418,"No Offer",0,0,0
1,194630,100638.217482053,"Offer",1,1,1
1,5783,4813.45909721924,"Offer",1,0,0
1,113001,38480.3536376215,"Offer",1,0,0
1,104129,3113.08346860822,"No Offer",1,0,0
1,134508,3425.94071554947,"Offer",1,0,0
1,160790,101192.481526791,"Offer",1,0,1
0,195897,3423.95085479357,"Offer",0,0,0
1,145172,49283.4400327761,"Offer",1,1,0
1,1301,4717.22478997807,"No Offer",1,0,0
1,165788,86356.4756656597,"Offer",1,0,1
1,187613,4047.20979509871,"Offer",1,0,0
1,138961,61506.7457413005,"Offer",1,1,1
1,162715,3687.24068445228,"No Offer",1,0,0
1,165723,60753.5736011498,"No Offer",1,1,1
1,152745,4189.13315622481,"Offer",1,0,0
1,146837,80200.4487524588,"Offer",1,1,1
1,0,2931.44310070553,"No Offer",1,0,0
1,169758,2570.96812056202,"Offer",1,0,0
1,149664,75482.1461588542,"No Offer",1,0,1
1,122981,42365.2521501576,"Offer",1,0,0
1,178738,86701.9385210902,"No Offer",1,1,0
1,156092,44233.0845134348,"No Offer",1,0,0
1,167463,51080.0557908974,"No Offer",1,0,1
1,158748,81654.2981693279,"Offer",1,1,1
1,0,3940.92712838003,"No Offer",1,0,0
1,128143,30264.082951693,"Offer",1,0,0
1,140378,73423.8502730206,"Offer",1,0,1
1,111491,2828.06273768506,"No Offer",1,0,0
1,196289,93675.048154898,"Offer",1,0,0
1,43066,22587.0066254362,"No Offer",1,0,0
1,121513,67009.3088270731,"Offer",1,0,1
1,202421,100234.626279456,"No Offer",1,0,1
1,104535,47412.3509708485,"Offer",1,0,0
1,166548,3628.72369621413,"No Offer",1,0,0
0,0,3325.60421096547,"No Offer",0,0,0
1,0,2930.21886471795,"No Offer",1,0,0
1,164146,80776.0678887257,"No Offer",1,1,1
1,0,3599.83557206544,"No Offer",1,0,0
0,164685,69142.6620806048,"Offer",0,0,1
1,192944,68537.5616364779,"No Offer",1,1,1
0,185855,78873.895474169,"No Offer",0,1,0
1,165706,76099.0352880147,"No Offer",1,0,1
1,190267,113349.995285794,"No Offer",1,1,1
1,154071,67210.6443842733,"No Offer",1,0,1
1,181683,70885.0694562011,"Offer",1,1,1
1,0,3321.73204857595,"No Offer",1,0,0
1,148802,56323.5444168867,"Offer",1,0,1
1,147194,87659.894550014,"No Offer",1,0,1
1,175605,100174.434543673,"Offer",1,0,0
1,139498,51426.9326195105,"Offer",1,1,1
1,168420,61759.2099884369,"No Offer",1,1,1
1,131969,57636.8406181649,"No Offer",1,1,0
1,149055,71673.7240821737,"Offer",1,1,1
1,0,2761.81691225738,"Offer",1,0,0
1,181733,62380.1490781362,"No Offer",1,0,1
1,132751,58441.3051289852,"Offer",1,0,1
1,138955,59313.1644726754,"Offer",1,0,1
1,129028,75581.3138097261,"No Offer",1,1,1
1,0,3000.36562233476,"No Offer",1,0,0
0,213931,3032.96922135389,"No Offer",1,0,0
1,201754,63968.1607433696,"Offer",1,0,1
1,0,2699.83212115694,"Offer",1,0,0
1,167912,84393.5818531926,"No Offer",1,0,1
0,219715,3329.98560692329,"No Offer",1,0,0
1,145569,74028.0236651648,"Offer",1,0,1
1,204590,90460.3429839414,"Offer",1,1,1
0,25335,18221.9160447223,"No Offer",0,0,0
1,141217,3206.64717939638,"No Offer",1,0,0
1,151269,2242.92570133326,"No Offer",1,0,0
0,119288,56664.6985791907,"Offer",0,0,0
0,203190,80302.2865300862,"No Offer",0,0,1
1,0,3603.8652689849,"No Offer",1,0,0
0,161612,86798.8138705674,"Offer",0,1,0
0,200107,3482.76791037333,"No Offer",0,0,0
1,0,3031.44688063085,"No Offer",1,0,0
0,73382,37632.1622107602,"Offer",0,0,0
1,152296,70797.7265142814,"Offer",1,1,0
1,148161,711.595673111726,"Offer",1,0,0
1,0,652.977456878583,"Offer",1,0,0
1,156928,90774.5453930754,"No Offer",1,0,1
1,101509,3269.80576305229,"Offer",1,0,0
1,0,3254.36931012409,"No Offer",1,0,0
0,0,3514.65492500908,"No Offer",1,0,0
0,0,3359.14878831195,"No Offer",1,0,0
1,192256,67193.5719665837,"No Offer",1,1,1
1,246953,103267.869604163,"Offer",1,0,1
1,180949,2302.78847609811,"Offer",1,0,0
1,175400,73297.9505161197,"No Offer",1,1,1
1,6098,4149.90980836758,"Offer",1,0,0
1,166192,44617.279573757,"No Offer",1,0,0
1,191903,105718.628509706,"No Offer",1,1,1
1,131578,74733.4657773019,"Offer",1,0,1
1,0,3478.4156348699,"No Offer",1,0,0
1,149396,2169.0163205311,"Offer",1,0,0
1,203710,81935.774463127,"No Offer",1,0,0
1,0,3413.57574651235,"No Offer",1,0,0
1,0,3377.85651052949,"Offer",1,0,0
0,202518,109005.313066892,"Offer",0,0,1
1,184751,61936.711415542,"No Offer",1,1,1
0,0,3409.45568766976,"Offer",0,0,0
1,113100,54688.557529982,"No Offer",1,1,0
1,212173,104305.647940745,"No Offer",1,1,1
1,0,2192.77053805228,"Offer",1,0,0
0,8217,3811.20419721471,"Offer",1,0,0
1,165136,80638.6847707102,"Offer",1,1,1
1,135946,28299.0165784097,"No Offer",1,0,0
1,144442,51111.664362683,"No Offer",1,1,1
1,141571,2386.04066657566,"Offer",1,0,0
1,152412,53300.7959930755,"No Offer",1,1,1
1,142699,56696.5147536035,"No Offer",1,1,1
1,120531,43974.6665057672,"No Offer",1,0,0
1,209825,3242.86032423222,"No Offer",1,0,0
1,171187,67259.818214267,"Offer",1,0,1
1,0,3835.85095844067,"Offer",1,0,0
0,170338,80883.1720555144,"No Offer",0,0,0
1,128564,826.208966977958,"No Offer",1,0,0
0,186355,49332.2667820723,"No Offer",0,1,0
0,172156,2717.81716553549,"No Offer",0,0,0
1,200553,3275.75981800588,"Offer",1,0,0
1,235832,124260.417661102,"Offer",1,1,0
1,0,3510.10997993194,"Offer",1,0,0
1,148080,65254.3229071967,"No Offer",1,1,1
1,119200,3071.2943454207,"Offer",1,0,0
1,0,2911.55005496576,"Offer",1,0,0
0,0,863.845231305223,"Offer",0,0,0
1,0,2662.20641356236,"No Offer",1,0,0
1,120566,63508.0680690651,"No Offer",1,1,1
1,104488,41908.8783246334,"No Offer",1,0,0
1,0,2891.68615320037,"Offer",1,0,0
1,167466,3244.96801952098,"No Offer",1,0,0
1,152117,68927.3863607465,"No Offer",1,0,0
0,0,1860.41458072288,"Offer",0,0,0
1,174705,58986.636289954,"No Offer",1,1,1
0,112061,46924.6085028149,"No Offer",0,0,0
1,179329,98713.0049673143,"No Offer",1,1,0
1,204715,83285.9243308306,"Offer",1,0,1
1,121586,86076.2006745255,"No Offer",1,1,0
1,0,670.679613717098,"No Offer",1,0,0
1,173297,3489.54144886533,"No Offer",1,0,0
0,0,2895.27261368935,"Offer",0,0,0
1,122574,2847.13525634003,"No Offer",1,0,0
1,156028,83517.5974298582,"No Offer",1,1,1
1,173705,56423.0030755924,"Offer",1,0,1
1,184445,56473.3664494788,"No Offer",1,1,1
1,0,3758.81018092075,"No Offer",1,0,0
1,139152,74009.6733888054,"No Offer",1,1,1
1,188534,68828.8637505743,"No Offer",1,1,0
1,135614,71957.734910975,"Offer",1,0,1
1,147567,73478.3607211427,"Offer",1,1,1
1,176111,93150.2701118426,"No Offer",1,0,1
1,133325,24456.9489169103,"Offer",1,0,0
1,204334,2534.12777942388,"No Offer",1,0,0
